incident_id,department_id,reported_by_doctor_id,reported_by_nurse_id,incident_type,severity,incident_date,incident_time,description,action_taken,status
INC00027,DEP006,DOC0010,NUR0086,Fire Safety Incident,Medium,2026-02-24,14:14:54,Possimus voluptatum accusamus sit officiis dolorem.,Quo nulla id molestias cumque incidunt.,Resolved
INC00028,DEP007,DOC0047,NUR0062,Needle Stick Injury,High,2024-12-30,04:50:02,Delectus iste enim cum numquam recusandae deleniti.,Ipsam officia culpa totam enim.,Resolved
INC00029,DEP001,DOC0061,NUR0155,Data Privacy Incident,Low,2025-01-02,12:08:07,Illo eum distinctio natus illo ducimus.,Ipsa consequatur ipsum ipsam optio eligendi fugiat itaque.,Resolved
INC00030,DEP004,DOC0018,NUR0157,Wrong Patient Identification,Low,2024-08-17,13:39:23,Praesentium cumque odio quia debitis et. Molestiae placeat quia vel saepe optio voluptatum inventore.,Deleniti accusamus provident accusantium doloremque officiis possimus.,Closed
INC00031,DEP009,DOC0036,NUR0014,Fire Safety Incident,Medium,2025-01-14,17:15:03,Nisi aspernatur iste totam. Ut iste quod debitis nihil nulla quos.,Mollitia nobis saepe delectus expedita laboriosam dolores quibusdam enim.,Closed
INC00032,DEP008,DOC0023,NUR0217,Wrong Patient Identification,Low,2026-01-10,22:45:01,Eum minima delectus officiis voluptatum qui optio.,Delectus accusantium consectetur sint.,Resolved
INC00033,DEP003,DOC0046,NUR0076,Patient Fall,Low,2025-03-29,00:10:19,Voluptate voluptatem quas reprehenderit repellat. Maiores dolor nobis animi.,Vel facilis quaerat at quis illum occaecati.,Open
INC00034,DEP010,DOC0080,NUR0041,Wrong Patient Identification,Medium,2024-12-14,17:38:13,Impedit vel delectus asperiores dicta neque illum. Totam eum veniam voluptas asperiores porro.,Tempora exercitationem quos at iste.,Under Investigation
INC00035,DEP008,DOC0023,NUR0162,Patient Complaint,Low,2026-04-09,14:25:23,Sint fugiat nam provident eveniet. Sed laborum illo perspiciatis.,Nostrum porro ex magnam quo iure optio molestias neque cupiditate.,Open
INC00036,DEP010,DOC0097,NUR0236,Patient Complaint,High,2024-09-23,18:22:20,Dolorem id ut nostrum deserunt. Sequi consequuntur laboriosam amet.,Quasi maxime amet eligendi consequuntur.,Under Investigation
INC00037,DEP001,DOC0089,NUR0126,Laboratory Error,High,2025-05-20,14:07:13,Beatae fugit porro mollitia. Quidem reprehenderit molestias quam nam.,Eius ipsa dolor a cum alias excepturi voluptatem.,Under Investigation
INC00038,DEP009,DOC0070,NUR0124,Needle Stick Injury,Medium,2025-05-06,23:52:30,Recusandae aut enim.,Ducimus odio odio recusandae voluptatum reiciendis tenetur omnis repudiandae aliquid fugit.,Resolved
INC00039,DEP002,DOC0021,NUR0106,Equipment Failure,Critical,2025-07-31,06:58:18,Beatae inventore maiores architecto.,Illo omnis expedita commodi vitae.,Closed
INC00040,DEP008,DOC0023,NUR0249,Equipment Failure,High,2024-08-17,23:29:57,Magni ab dolores quas. Praesentium ducimus quibusdam consequuntur esse.,Similique repellat ipsam tenetur blanditiis.,Under Investigation
INC00041,DEP003,DOC0017,NUR0229,Patient Fall,High,2024-09-07,00:11:02,Optio eveniet numquam quasi est neque. Nam hic id ratione quas iste deleniti voluptas.,Suscipit aliquam qui sit laboriosam eos minus quasi assumenda.,Resolved
INC00042,DEP002,DOC0039,NUR0071,Wrong Patient Identification,Critical,2025-04-21,06:09:44,Molestiae dolore exercitationem ducimus delectus minima eaque porro.,Debitis quidem cum magni nisi velit quidem tempore ex pariatur.,Open
INC00043,DEP002,DOC0063,NUR0114,Data Privacy Incident,Low,2024-09-20,07:09:54,Exercitationem dolore officiis ducimus animi nam similique facilis. Quibusdam recusandae occaecati aperiam voluptate est.,Possimus aspernatur voluptatem et quaerat consectetur quam cumque ut ipsa.,Open
INC00044,DEP005,DOC0068,NUR0030,Patient Fall,Critical,2026-01-07,18:40:36,Esse itaque natus reprehenderit sed minima nisi.,Itaque pariatur provident at exercitationem reiciendis atque iste ut fuga.,Closed
INC00045,DEP001,DOC0084,NUR0231,Equipment Failure,High,2025-07-26,02:11:32,Rem enim iste earum commodi totam quis sed. Ea at veritatis.,Ratione nam quidem ipsa rerum et id.,Resolved
INC00046,DEP002,DOC0073,NUR0080,Fire Safety Incident,Critical,2026-02-05,03:06:23,Minus nobis vero sint qui reiciendis totam.,Ullam nemo ratione exercitationem tenetur occaecati.,Closed
INC00047,DEP009,DOC0099,NUR0021,Patient Fall,Low,2026-02-05,14:33:17,Veniam hic fugit eum voluptate. Laudantium odio illum possimus adipisci.,Nulla vel reiciendis necessitatibus repudiandae temporibus.,Under Investigation
INC00048,DEP008,DOC0020,NUR0177,Patient Complaint,Critical,2025-04-08,08:23:38,Nulla exercitationem magnam placeat impedit. Libero laborum aliquid cumque et.,Pariatur modi aspernatur adipisci eligendi illo et.,Open
INC00049,DEP009,DOC0057,NUR0138,Wrong Patient Identification,Low,2025-08-13,04:11:20,Autem nobis iure autem sapiente saepe.,Eligendi iste esse rerum impedit minima numquam.,Under Investigation
INC00050,DEP009,DOC0007,NUR0141,Medication Error,Low,2024-11-06,06:23:14,Deleniti optio aspernatur. Nisi accusantium in eius ipsa repellendus deleniti.,Doloremque porro fugiat dolore ut natus molestias natus consequuntur.,Resolved
INC00051,DEP003,DOC0016,NUR0026,Fire Safety Incident,Critical,2025-08-10,17:46:11,Earum maxime cumque corrupti nulla numquam distinctio. Tempore quo modi ut.,Eaque saepe asperiores ut eligendi laborum repellendus molestiae est.,Closed
INC00052,DEP001,DOC0061,NUR0155,Equipment Failure,Critical,2026-06-20,23:44:43,Magni provident non occaecati tempore quam suscipit amet. Nobis commodi iure quam quo.,Adipisci maiores quia consequuntur placeat eligendi eaque.,Resolved
INC00053,DEP001,DOC0084,NUR0126,Delay in Treatment,Critical,2024-12-17,22:30:47,Iusto voluptatum laboriosam delectus iure.,Quia animi cum illo aut vero sequi illo rerum laboriosam.,Closed
INC00054,DEP004,DOC0082,NUR0210,Fire Safety Incident,High,2025-07-09,14:53:21,Nostrum voluptas sequi amet. Dicta ratione corrupti voluptate.,Nostrum dolores temporibus repellendus soluta adipisci similique explicabo nesciunt.,Open
INC00055,DEP001,DOC0084,NUR0192,Patient Complaint,Critical,2025-08-26,08:28:02,Non velit quasi aspernatur officia tenetur.,Possimus quam autem enim ab dolorum aliquid.,Closed
INC00056,DEP005,DOC0096,NUR0035,Patient Complaint,High,2025-04-13,01:20:13,Earum necessitatibus dolore deleniti nulla voluptas totam. Nostrum laboriosam iure voluptatibus facere eveniet error.,Facilis architecto quibusdam cumque beatae dolore numquam tenetur expedita.,Under Investigation
INC00057,DEP010,DOC0071,NUR0236,Delay in Treatment,Low,2025-03-03,15:08:15,Doloremque qui dolores similique occaecati impedit. Deserunt debitis voluptas quibusdam.,Exercitationem dolorem quidem sint odio atque.,Open
INC00058,DEP009,DOC0024,NUR0010,Medication Error,Low,2024-07-25,21:38:32,Excepturi exercitationem impedit dolores ab nam qui.,Nobis impedit eos est neque facere laboriosam odit nihil.,Closed
INC00059,DEP005,DOC0094,NUR0098,Needle Stick Injury,Critical,2025-04-18,04:39:59,Esse eligendi numquam facere sequi pariatur laborum. Quibusdam ea soluta iure itaque natus.,Fuga nobis sit suscipit dolor quidem dolorum.,Under Investigation
INC00060,DEP005,DOC0098,NUR0065,Delay in Treatment,Critical,2026-03-20,16:14:59,Quia rem a perspiciatis quos optio harum. Ut optio quae beatae voluptatum quos.,Quaerat facere quo perferendis hic explicabo beatae necessitatibus cum est.,Resolved
INC00061,DEP007,DOC0095,NUR0060,Data Privacy Incident,High,2026-05-14,04:59:46,Sequi in laudantium sit maiores officiis nostrum.,Fugiat cumque non aliquid dolore enim ratione voluptatum asperiores.,Resolved
INC00062,DEP005,DOC0067,NUR0134,Equipment Failure,Critical,2025-09-13,17:07:27,Adipisci consequuntur tenetur facilis rerum placeat perspiciatis.,Magnam soluta exercitationem possimus hic ullam nostrum error.,Open
INC00063,DEP004,DOC0065,NUR0169,Patient Fall,High,2026-06-03,06:07:03,Fugiat est aperiam. Cumque inventore saepe dolores sunt qui.,Natus accusantium autem quis nisi vero.,Closed
INC00064,DEP001,DOC0081,NUR0174,Fire Safety Incident,Low,2025-11-13,20:25:05,Temporibus autem perferendis possimus iusto earum saepe. Fuga occaecati voluptatibus cumque saepe odio.,Dignissimos laborum mollitia exercitationem ipsam maiores.,Closed
INC00065,DEP006,DOC0030,NUR0230,Patient Complaint,Medium,2025-04-29,18:10:59,Voluptates totam reprehenderit.,Sed ab suscipit numquam rerum sint vitae debitis.,Resolved
INC00066,DEP009,DOC0099,NUR0014,Fire Safety Incident,Medium,2024-12-02,06:51:56,Dolores aliquid vel ipsa. Non ratione facilis sunt molestiae nobis nobis.,Suscipit consequuntur dicta beatae consequuntur nostrum architecto.,Under Investigation
INC00067,DEP010,DOC0014,NUR0150,Patient Complaint,Low,2024-12-02,18:09:11,Aut tempore quidem modi doloremque.,Numquam vero ea ullam quas dolorum rerum id aut hic in.,Open
INC00068,DEP007,DOC0044,NUR0100,Data Privacy Incident,Low,2025-11-04,02:10:19,Ad consectetur iure minima provident. Placeat quis atque eos adipisci.,Expedita recusandae rem saepe iusto nesciunt rerum suscipit quaerat illo sunt.,Resolved
INC00069,DEP005,DOC0094,NUR0171,Medication Error,Low,2024-11-17,13:21:10,Aut accusamus sequi doloribus amet ipsum. Ipsam voluptates blanditiis quam.,Eos quisquam mollitia excepturi impedit explicabo eaque iusto ex.,Under Investigation
INC00070,DEP004,DOC0035,NUR0244,Laboratory Error,High,2025-11-02,17:38:01,Nemo earum architecto iste.,Illo sed delectus laudantium iure.,Under Investigation
INC00071,DEP010,DOC0053,NUR0075,Medication Error,Critical,2024-07-18,00:39:30,Sit esse hic quisquam facere reiciendis iusto.,Quas asperiores suscipit dolores quo quisquam quas ab incidunt.,Under Investigation
INC00072,DEP008,DOC0020,NUR0031,Patient Fall,Critical,2026-05-24,02:20:08,Vitae quae exercitationem ipsam doloribus perspiciatis. Aperiam sint nemo.,Voluptas voluptatibus commodi dicta ipsa cum blanditiis.,Closed
INC00073,DEP006,DOC0049,NUR0040,Fire Safety Incident,Low,2025-04-13,00:58:58,Explicabo illum ipsum sit est quibusdam.,Nisi quasi exercitationem alias dicta.,Resolved
INC00074,DEP010,DOC0053,NUR0041,Fire Safety Incident,Low,2025-06-30,23:18:20,Sint nostrum molestiae alias accusantium eum. Id rerum aut consectetur repudiandae voluptates asperiores.,Accusamus provident officiis atque culpa optio fugit.,Resolved
INC00075,DEP008,DOC0023,NUR0220,Equipment Failure,Critical,2024-12-09,22:46:13,Cumque officiis quos.,Odio ipsa nobis porro quisquam reiciendis.,Closed
INC00076,DEP007,DOC0005,NUR0087,Equipment Failure,High,2026-06-27,04:58:02,Harum similique distinctio tempora unde doloremque.,Facere excepturi hic odit mollitia fugit porro architecto.,Resolved
INC00077,DEP002,DOC0050,NUR0106,Patient Complaint,Critical,2024-08-11,12:53:16,Adipisci quis aperiam explicabo suscipit.,Aut magni consequatur occaecati aut similique corrupti repudiandae.,Resolved
INC00078,DEP009,DOC0024,NUR0187,Patient Fall,Low,2025-04-24,10:42:32,Nobis assumenda officia quidem.,Cumque ipsum nobis aperiam est quo porro inventore dignissimos.,Resolved
INC00079,DEP009,DOC0079,NUR0211,Patient Fall,Critical,2025-01-19,00:02:49,Nobis ipsa illum nostrum corrupti tempore.,Pariatur fugiat consectetur quam rem unde quasi veritatis ratione.,Open
INC00080,DEP009,DOC0052,NUR0180,Medication Error,Medium,2024-10-16,22:22:37,Labore nulla veritatis error nostrum asperiores dolorem in. Reprehenderit unde tenetur a mollitia cumque.,Ex in optio suscipit eum iste aliquid porro ullam blanditiis.,Open
INC00081,DEP003,DOC0078,NUR0229,Patient Fall,Low,2026-01-09,11:59:34,At dolor dolore sunt minima hic.,Sequi laudantium unde facere sed deleniti assumenda.,Open
INC00082,DEP002,DOC0085,NUR0106,Medication Error,Medium,2024-10-11,22:57:34,Laudantium culpa placeat distinctio nisi mollitia architecto temporibus. Nemo recusandae veniam sunt tempora repellendus pariatur deleniti.,Expedita laboriosam doloremque beatae iste repudiandae accusamus sapiente iusto.,Under Investigation
INC00083,DEP008,DOC0022,NUR0193,Patient Complaint,Critical,2026-06-15,17:21:51,Quaerat cumque dignissimos dignissimos voluptas nisi.,Dicta beatae neque quis nostrum voluptas repellendus rem blanditiis.,Open
INC00084,DEP003,DOC0087,NUR0103,Laboratory Error,Low,2024-10-24,21:54:43,A enim quod labore perspiciatis quaerat quia vitae.,Commodi quisquam veniam facere doloribus adipisci iusto impedit pariatur.,Closed
INC00085,DEP001,DOC0089,NUR0183,Fire Safety Incident,Medium,2024-11-04,00:16:34,Labore unde vel perspiciatis possimus ratione neque. Dignissimos architecto consequuntur minus doloribus.,Fugit aliquid iusto voluptatibus suscipit natus.,Closed
INC00086,DEP006,DOC0033,NUR0182,Equipment Failure,Low,2025-11-19,21:35:11,Iusto doloremque quos ipsum labore illo.,Ipsa tenetur error labore repellendus consequatur ipsum.,Resolved
INC00087,DEP010,DOC0009,NUR0161,Patient Complaint,Low,2024-12-06,19:16:50,Quod autem nemo sapiente dolore. Repellendus eum esse unde consequuntur tenetur.,Distinctio quibusdam quo aut corrupti veniam exercitationem.,Resolved
INC00088,DEP007,DOC0077,NUR0125,Delay in Treatment,High,2025-06-19,01:59:23,Iste quas id quis nobis ex cupiditate doloremque. Consectetur vero eum ab corrupti dolor vitae.,Totam sed nam praesentium dignissimos necessitatibus odit laborum sequi perspiciatis mollitia.,Closed
INC00089,DEP002,DOC0013,NUR0005,Patient Fall,Critical,2024-08-17,00:37:08,Sed nulla tenetur repudiandae voluptate. Iure assumenda suscipit accusamus sint possimus repellendus delectus.,Impedit autem doloribus temporibus corporis architecto atque atque numquam.,Closed
INC00090,DEP005,DOC0068,NUR0093,Equipment Failure,Low,2026-05-18,11:52:56,Perspiciatis blanditiis quod laboriosam.,Libero qui ipsam nulla rem dolorem iure nobis.,Resolved
INC00091,DEP005,DOC0008,NUR0098,Delay in Treatment,Medium,2025-10-13,10:08:44,Animi voluptatibus dignissimos. Laboriosam impedit distinctio ipsum necessitatibus facere ea.,Earum iure soluta dignissimos fuga.,Open
INC00092,DEP002,DOC0058,NUR0165,Delay in Treatment,Low,2024-12-23,04:50:31,Est odit unde aut maiores. Provident voluptate occaecati voluptatem in laboriosam dicta.,Numquam deleniti quos eligendi corrupti veniam veniam impedit sint accusamus.,Resolved
INC00093,DEP002,DOC0085,NUR0005,Patient Complaint,Medium,2025-11-29,21:57:38,Explicabo excepturi incidunt soluta voluptatem eaque.,Autem alias perspiciatis eos quia maxime natus ea.,Resolved
INC00094,DEP003,DOC0017,NUR0038,Fire Safety Incident,Medium,2026-05-03,19:11:18,Recusandae optio ratione eveniet tempora.,Quo id commodi magni numquam ipsa minima maxime possimus.,Open
INC00095,DEP007,DOC0047,NUR0140,Fire Safety Incident,Medium,2025-05-09,05:57:08,Nulla tempore quisquam in consequatur cupiditate iure.,Error voluptates repellendus odit nulla cumque tempora ratione deleniti cumque.,Closed
INC00096,DEP006,DOC0010,NUR0084,Needle Stick Injury,Medium,2025-08-05,23:34:48,Similique quae nisi quaerat beatae impedit similique reiciendis.,Quam nostrum maiores quo eius itaque pariatur aliquam soluta.,Open
INC00097,DEP006,DOC0049,NUR0142,Delay in Treatment,Low,2026-01-01,01:47:45,Assumenda dolorum enim cupiditate cumque cupiditate.,Eos quasi sint voluptates amet totam sunt esse.,Closed
INC00098,DEP006,DOC0049,NUR0182,Medication Error,High,2025-08-12,20:18:38,Sunt voluptas libero numquam earum alias.,Odio quam hic magnam consectetur repellat.,Open
INC00099,DEP004,DOC0075,NUR0189,Patient Fall,Medium,2024-10-23,10:32:38,Doloremque laborum necessitatibus perspiciatis nihil iste occaecati delectus. Dolorum quisquam modi laborum.,Numquam unde in eveniet dolore laudantium delectus corporis perferendis.,Closed
INC00100,DEP003,DOC0016,NUR0168,Fire Safety Incident,Critical,2025-01-11,15:27:39,Excepturi quos excepturi molestias quod eveniet.,Dolorem maiores hic sint deserunt iste.,Closed
INC00101,DEP005,DOC0096,NUR0194,Equipment Failure,Critical,2025-01-18,18:18:20,Repellat officia reiciendis explicabo accusamus.,Repellat totam voluptates ducimus odio fugit quos.,Closed
INC00102,DEP001,DOC0081,NUR0116,Medication Error,Critical,2025-06-13,16:06:03,Nobis magnam maxime fuga incidunt itaque repellendus.,Consequatur repellendus quia aliquam harum reiciendis blanditiis ex sed.,Open
INC00103,DEP002,DOC0013,NUR0241,Equipment Failure,Critical,2026-04-04,05:47:38,Assumenda facilis sed consectetur earum. Autem voluptatibus culpa adipisci sunt.,Voluptatem doloribus exercitationem vero totam eaque nam commodi libero.,Resolved
INC00104,DEP006,DOC0030,NUR0068,Patient Fall,Critical,2026-04-13,22:34:52,Facere odio quae porro quas. Veniam sed impedit rerum libero inventore consectetur.,Nobis expedita explicabo aliquam totam fugiat reiciendis.,Resolved
INC00105,DEP003,DOC0059,NUR0168,Wrong Patient Identification,High,2025-10-14,15:06:26,Perspiciatis voluptas at architecto.,Sapiente ullam molestiae debitis temporibus assumenda.,Resolved
INC00106,DEP007,DOC0047,NUR0025,Equipment Failure,Low,2024-08-19,00:09:48,Reiciendis alias laudantium doloremque. Totam delectus autem dolores nam soluta nihil impedit.,Optio molestiae sit molestiae aliquid placeat alias.,Resolved
INC00107,DEP001,DOC0089,NUR0110,Equipment Failure,Medium,2025-03-08,23:40:07,Deleniti tenetur eveniet officiis aliquid veritatis.,Consectetur quod eaque nihil at totam tempora.,Closed
INC00108,DEP009,DOC0057,NUR0166,Fire Safety Incident,High,2026-03-21,10:31:15,Eum odit possimus provident ratione optio ut.,Sed adipisci laudantium sed explicabo.,Resolved
INC00109,DEP005,DOC0096,NUR0222,Delay in Treatment,High,2024-10-24,15:20:00,Voluptate quidem aliquid.,Sit deleniti deleniti explicabo dolores magni.,Open
INC00110,DEP006,DOC0062,NUR0142,Delay in Treatment,High,2025-08-06,16:30:01,Occaecati velit officia dolorum culpa qui fuga atque. Maxime quaerat architecto rem corporis assumenda eos.,Ut nam voluptatum quas ipsa libero.,Open
INC00111,DEP002,DOC0038,NUR0131,Data Privacy Incident,High,2024-10-17,16:18:18,Nam esse modi neque harum. Cupiditate doloremque assumenda accusamus eligendi dolores amet.,Accusamus vero ipsa similique tempora sed in ut quam corporis.,Open
INC00112,DEP003,DOC0087,NUR0218,Data Privacy Incident,High,2025-10-02,19:56:05,Velit minus veritatis fugiat soluta perferendis. Eaque nemo explicabo ratione aperiam excepturi.,Magni ea eos culpa error reprehenderit.,Under Investigation
INC00113,DEP009,DOC0011,NUR0202,Wrong Patient Identification,High,2025-10-27,19:35:47,Sed soluta perferendis dolore atque sequi eos.,Quidem harum nobis nihil natus laborum.,Resolved
INC00114,DEP006,DOC0091,NUR0086,Medication Error,High,2025-04-21,18:58:08,Velit ut possimus laudantium. Nobis adipisci distinctio voluptate et maxime voluptatum sequi.,Dignissimos excepturi accusantium odit harum.,Under Investigation
INC00115,DEP008,DOC0025,NUR0193,Laboratory Error,High,2025-12-04,07:05:04,Temporibus fugit consectetur iusto blanditiis qui. Corrupti reprehenderit facilis eveniet maxime.,Pariatur adipisci vitae ex magni modi maiores voluptatem laboriosam aliquam illo.,Under Investigation
INC00116,DEP004,DOC0082,NUR0243,Medication Error,Low,2025-04-26,17:49:09,Illum modi officia praesentium officiis dicta cupiditate. Reiciendis corrupti quae eius at.,Officia voluptas atque perferendis nam adipisci repellendus cum.,Resolved
INC00117,DEP004,DOC0002,NUR0157,Fire Safety Incident,Medium,2025-05-15,04:47:40,Autem saepe aliquam quibusdam asperiores. Molestiae nulla eos blanditiis aut nesciunt itaque modi.,Amet hic tempora beatae odio unde.,Under Investigation
INC00118,DEP001,DOC0061,NUR0110,Delay in Treatment,High,2025-07-24,06:36:17,Odit fugiat odit velit. Porro animi dolorem sint voluptatibus esse tempora velit.,Sed nisi quod quae at ipsum recusandae culpa.,Resolved
INC00119,DEP004,DOC0004,NUR0244,Data Privacy Incident,Critical,2025-09-26,03:30:52,Expedita dolorem neque non. Animi doloribus quia magnam tempore id temporibus.,Repudiandae necessitatibus quam impedit quia veniam illo suscipit autem molestiae.,Open
INC00120,DEP006,DOC0028,NUR0159,Patient Fall,Low,2025-11-22,02:40:17,Mollitia necessitatibus asperiores nobis magni quo.,Aliquid distinctio laboriosam magni ullam harum facilis.,Open
INC00121,DEP002,DOC0076,NUR0061,Fire Safety Incident,Medium,2025-02-10,18:00:39,Commodi dolore numquam quibusdam veritatis neque voluptates tempora.,Fugiat quibusdam quia alias id.,Under Investigation
INC00122,DEP007,DOC0072,NUR0173,Fire Safety Incident,Critical,2025-03-31,06:50:39,Voluptate laboriosam reprehenderit adipisci. Labore vero deserunt voluptate pariatur ut blanditiis reprehenderit.,Magni delectus nemo ducimus recusandae.,Closed
INC00123,DEP008,DOC0042,NUR0197,Patient Complaint,High,2025-01-08,20:13:36,Corrupti unde voluptatum dicta corporis sed.,Id saepe odit amet dolores hic reiciendis doloremque quidem.,Under Investigation
INC00124,DEP001,DOC0084,NUR0155,Patient Complaint,Critical,2026-05-23,17:28:56,Debitis doloribus placeat eveniet perspiciatis. Voluptatem aperiam quaerat corrupti qui facere.,Esse amet autem laborum ipsam dolore quaerat est aliquid sed explicabo.,Resolved
INC00125,DEP006,DOC0062,NUR0232,Fire Safety Incident,Medium,2025-10-12,03:47:50,Accusantium recusandae dicta corrupti deleniti expedita asperiores. Quia eos voluptate eligendi modi cum excepturi.,Quasi magni autem totam aut quo earum consequatur.,Closed
INC00126,DEP009,DOC0029,NUR0124,Wrong Patient Identification,High,2026-01-27,00:51:28,Maxime quia accusamus aspernatur enim optio quam. Beatae rerum amet molestiae doloremque fugiat exercitationem.,Id officiis unde modi velit nemo eius veniam recusandae hic.,Closed
INC00127,DEP008,DOC0020,NUR0101,Medication Error,High,2025-07-23,22:40:19,Natus tempore recusandae hic libero nostrum maxime.,Quod accusantium corrupti delectus explicabo unde quaerat delectus.,Open
INC00128,DEP010,DOC0009,NUR0085,Patient Complaint,High,2024-11-13,20:07:13,Vitae maxime saepe.,Laudantium ipsa eos voluptas quod laborum quam temporibus.,Open
